GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
-0.00572928630511411	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
-0.00257109080217552	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.00047152474859806	-0	-0	-0	-0	-0.243360022162348	-0	-0	-0	-0	-0	-0	-0
0	4.44692297308508e-21	-3.53952481006373e-24	1.43722631431089e-22	-1.9762506510396e-26	-0	7.29685504802231e-10	1.62017601991505e-13	2.01520771788503e-14	-1.65726993605446e-09	-4.94101046124497e-14	4.22692106271516e-14	-2.15116224179315e-08
0	1.27054942088145e-20	-8.25152155342865e-24	3.35008148083976e-22	-4.81532665637273e-26	-0	1.71356213668322e-09	3.79459881283214e-13	4.7182078858858e-14	-3.85354241759639e-09	-1.16002548631362e-13	9.9018809580771e-14	-5.02761610734978e-08
0	-1.35525271560688e-20	1.11891072330548e-23	-4.53708565985336e-22	6.96774629173448e-26	-0	-2.35051613624766e-09	-5.18408180744741e-13	-6.44258989243192e-14	5.20662215475764e-09	1.59060095474325e-13	-1.35319455464306e-13	6.846592580146e-08
0	-1.10114283143059e-20	7.68044423932517e-24	-3.11330103049646e-22	5.22372563839194e-26	-0	-1.64049998775643e-09	-3.59728366856823e-13	-4.46728503894375e-14	3.55516871307705e-09	1.10951443963023e-13	-9.39418311920737e-14	4.72899809053957e-08
0	-2.5410988417629e-20	2.0743626039593e-23	-8.40208707200738e-22	1.56797390477717e-25	-0	-4.52722021171013e-09	-9.85406137872676e-13	-1.22256451586019e-13	9.53473096618809e-09	3.05971641907461e-13	-2.5748508249949e-13	1.28767717710383e-07
0	-1.35525271560688e-20	9.66800611130029e-24	-3.92393803079843e-22	6.94526150816479e-26	-0	-2.08766182907343e-09	-4.56061329413556e-13	-5.66086559996725e-14	4.45928780430737e-09	1.41143331835226e-13	-1.19134021341348e-13	5.97720389606913e-08
0	1.01643953670516e-20	-6.55511068941547e-24	2.6573177178266e-22	-4.81834051087151e-26	-0	1.42238188110084e-09	3.10224935962001e-13	3.84987002013768e-14	-3.01927914158945e-09	-9.61500127673696e-14	8.10484063165113e-14	-4.06052136802593e-08
0	-5.9292306307801e-21	5.94166552963722e-24	-2.41019750982638e-22	5.38732030767709e-26	-0	-1.35186921786196e-09	-2.90170776775205e-13	-3.59354148933374e-14	2.69315392296455e-09	9.12452659858457e-14	-7.59051915118688e-14	3.74834057900304e-08
0	-8.470329472543e-21	6.3931171164522e-24	-2.59424519611943e-22	5.30348502414908e-26	-0	-1.42452816100718e-09	-3.0792842186157e-13	-3.81696033623688e-14	2.91949380548717e-09	9.6213350039827e-14	-8.05052378897892e-14	4.00107704817719e-08
