GlobalSignal	CompCorrVec1	CompCorrVec2	CompCorrVec3	CompCorrVec4	CompCorrVec5	CompCorrVec6	CompCorrVec7	CompCorrVec8	CompCorrVec9	CompCorrVec10	CompCorrVec11	CompCorrVec12
0.00154795551947705	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0	-0
0.000320990162511026	4.02343786778547e-23	-0	-0	-0	-0	-0	-0	-0.272715088654021	-5.42073258376834e-22	-1.00065358644295e-11	-0	-0
0	5.71635247817372e-18	-1.7093554724995e-19	1.54416202670324e-22	-3.46944695195361e-18	-1.62075235979618e-18	-0	8.60333106775358e-21	-0	1.45857442022108e-17	-8.58256945084976e-07	1.27078740622534e-13	-5.41102916987362e-07
0	5.85179102161359e-18	4.96321370630655e-20	1.39732131210374e-23	1.21430643318376e-17	4.89643912036105e-19	-0	-6.91270475825304e-21	-0	1.57603720951202e-17	-5.73402324526835e-07	1.70557760380215e-13	4.59498498585526e-07
0.000107703281784705	0.00106242336496128	1.84399064510715e-19	-1.55539641573554e-22	-1.0842021724855e-18	1.24687072658374e-18	-0	-2.44085166010486e-21	-0	-0.243267839249914	0.0236773980084503	-2.72877746196727e-13	-2.41861719666529e-08
0	-5.21563121102068e-18	5.37046725973799e-20	-4.06657417988197e-23	4.33680868994202e-19	5.81235188608819e-20	-0	5.632516340634e-22	-0	-1.65338201051595e-17	-2.35409594864647e-07	-1.04254099464769e-13	-2.18104802650931e-07
0	3.9534483304034e-16	-5.8630752317311e-21	1.15163468524936e-23	1.35525271560688e-18	5.06304108598934e-20	-0	2.14040102178905e-22	-0	1.25323421046754e-15	1.51044498668115e-05	1.90541648831074e-14	4.54582066527025e-08
0	-3.89709464683967e-26	4.15314442579729e-19	5.13918267291246e-24	-0	1.41015323547622e-18	-0	5.24224743853201e-21	-0	-8.96849389827156e-23	1.18261363560425e-11	-9.23534624179923e-14	5.99737854203769e-07
0	-0	4.18537302489219e-20	-3.90338776245531e-22	1.38777878078145e-17	6.94287381803455e-19	-0	2.02116412798504e-21	-0	-0	1.35746539394519e-11	-1.1623886898656e-12	2.19436980490267e-06
0	-0	2.98423463921496e-19	-5.19756999193134e-22	-2.08166817117217e-17	1.93623033137965e-18	-0	1.58945856629361e-20	-0	-0	-4.7798734001614e-11	-1.35339011644686e-12	-3.56906747522743e-06
0	-0	3.52273155778851e-19	7.05080999321958e-22	-3.46944695195361e-18	-7.74739737816969e-19	-0	-8.7419549061901e-21	-0	-0	-4.80235208599541e-13	3.26669029734138e-12	-1.01934086988429e-06
3.61611280457476e-05	0.000356706190401477	-8.36802570373591e-20	-9.48640453279076e-23	-6.93889390390723e-18	-3.23145803523855e-18	-0	-3.65360183568417e-21	-0	-0.0816766150367917	0.00795015317004021	-1.52869967212915e-13	-1.46858791668018e-06
0	-0	-2.09924601720831e-19	-2.29589472010348e-22	1.73472347597681e-18	-8.28204866970231e-19	-0	9.74934457000605e-21	-0	-0	8.37597559052113e-20	-1.196700139931e-12	2.07203282242468e-06
0	-0	1.22232696000246e-18	-1.25224158748018e-22	1.04083408558608e-17	8.22932972206686e-18	-0	1.56822845888456e-20	-0	-0	2.42539039138094e-24	-3.26155396502631e-13	3.2366936231468e-06
0	-0	4.8111186531442e-19	2.20359622714419e-22	7.80625564189563e-18	1.63716066935047e-18	-0	6.85523347713907e-21	-0	-0	-1.08286321630005e-29	-7.70208622968287e-14	-3.5563119485789e-07
0	-0	6.71606936838273e-19	-1.71924320440318e-22	-2.60208521396521e-18	6.87629892570216e-18	-0	2.6656024486492e-20	-0	-0	-3.14299169356024e-36	-9.11614965644173e-13	-4.13703100158758e-07
0	-0	-3.07206066399398e-20	1.51600234295949e-22	-4.77048955893622e-18	-6.0600555268657e-19	-0	1.52733083994235e-20	-0	-0	-0	-5.1692807562563e-13	-1.12412557218306e-07
0	-0	5.21572498041184e-20	5.52021889844104e-23	-1.73472347597681e-18	1.96411551698029e-18	-0	6.34271753948005e-21	-0	-0	-0	-1.83397683869339e-12	-4.5842566158975e-07
0	-0	8.04099969125585e-20	1.01555807236491e-23	-0	5.51316689772321e-19	-0	-1.01137111674871e-20	-0	-0	-0	-1.55429321812202e-13	-2.23263936757051e-06
0	-0	-5.16687200958235e-19	-1.58741129427754e-22	8.67361737988404e-19	-4.42388313624524e-18	-0	-2.21119853396144e-20	-0	-0	-0	-2.21732704556327e-12	1.42116694374299e-06
0	-0	4.90967306447661e-20	2.39688507184311e-23	2.60208521396521e-18	-4.2568906216866e-19	-0	6.09432747999259e-21	-0	-0	-0	-1.05312399793019e-13	1.07635609069091e-06
0	-0	3.51274912961162e-20	-3.00993576567001e-22	-4.33680868994202e-18	-8.93098327042768e-19	-0	1.90110144701238e-20	-0	-0	-0	-1.62936848923874e-12	-2.49794384576745e-06
0	-0	2.76464896376031e-19	-1.69093811781738e-22	-2.08166817117217e-17	2.4434665287982e-18	-0	9.87585150493838e-21	-0	-0	-0	-3.83368289946586e-13	-3.48439993659319e-06
0	-0	5.38567487445073e-20	9.82373912634754e-23	1.73472347597681e-18	1.22572998274761e-18	-0	8.88717195572004e-21	-0	-0	-0	-7.70725551094412e-14	1.62917483242123e-06
0	-0	-2.91950675722319e-20	-3.78984429868534e-23	3.46944695195361e-18	-1.76168509026118e-18	-0	4.89747468181079e-21	-0	-0	-0	1.26461109253926e-13	2.70666505086064e-06
0	-0	4.63964243606866e-19	-1.07294372736077e-22	3.46944695195361e-18	-1.53216850534287e-18	-0	1.20754669253847e-20	-0	-0	-0	1.21042155214942e-13	1.1832578981809e-06
0.00305218245663343	-0	9.06482624048947e-20	5.56335002620618e-24	-0.150816540270638	9.37204289232657e-19	-0	8.50078571339758e-21	-0	-0	-0	3.06542966024312e-14	0.28337767384056
0	-0	-3.79592956301324e-20	6.90911801597628e-23	-1.08049517435555e-18	3.27500610438682e-18	-0	6.38891202239944e-21	-0	-0	-0	-9.80652444859355e-15	-0.000209987630053957
0	-0	3.44798694497708e-19	-5.15899623352252e-21	-0	-2.30617205792106e-18	-0	-6.3794443586774e-20	-0	-0	-0	-2.4233203194293e-11	-8.86451636903125e-10
0	-0	9.72626051598231e-19	-2.88122516988705e-21	-0	-7.55659709143184e-18	-0	-1.00568205283891e-19	-0	-0	-0	5.09629633525964e-11	3.54020806792222e-10
0	-0	-1.58593750270577e-18	-6.7859829502319e-22	-0	2.14710475792719e-18	-0	9.04546556751171e-20	-0	-0	-0	-4.37684823692501e-11	-5.69954405272047e-11
0	-0	1.42019444307426e-18	3.53182857105415e-21	-0	-1.09039173381442e-17	-0	5.65109114980915e-20	-0	-0	-0	3.58924368096854e-11	-2.93145370900832e-11
0	-0	9.25772481500616e-19	2.16972705846927e-21	-0	-9.07957370600381e-18	-0	7.62036003411414e-20	-0	-0	-0	-3.72577140181538e-11	1.0688244133007e-16
0	-0	2.28951549232337e-18	1.59366684765998e-21	-0	6.68452277557713e-18	-0	-3.29862257493284e-19	-0	-0	-0	-3.77339062160452e-11	-5.69373011829306e-20
0	-0	-5.63832706956906e-19	4.36503209244233e-21	-0	-3.32695386139243e-18	-0	-3.17434695970287e-20	-0	-0	-0	5.0671720603161e-11	8.83708015383838e-22
0	-0	-1.2537832915708e-18	2.24737217612415e-21	-0	-1.58173142254988e-17	-0	8.57269307334644e-21	-0	-0	-0	2.02211470710909e-11	-5.3570309136451e-28
0	-0	2.87762535509535e-18	-6.89434361047635e-21	-0	1.68496935753693e-17	-0	-1.40025134092977e-20	-0	-0	-0	-6.16405510465576e-11	-0
0	-0	-1.22506502883394e-18	-3.26022898680119e-21	-0	1.48034381581519e-17	-0	-4.63320404703202e-19	-0	-0	-0	-3.69350445178919e-11	-0
0	-0	-2.15365770093596e-18	-2.06562508590976e-21	-0	1.15480376148434e-18	-0	2.66104623443768e-19	-0	-0	-0	3.54157941533011e-11	-0
